Police_Station,Crime No.,Age,Gender,Gender,Road Type,Road_Type,Place,Incident_Area,Vehicle,Vehicle_Type,Alcohol Status,Alcohal_Status,Traffic Violation Type,Traffic_Violation_Type,Crime Section,ACT_279-323,Act_279-294-337,ACT_279-304-A,ACT_279-294-506,Date,Time,Date_Time,Incident Place,Latitude,Longitude
ABHANPUR,116/21,Unknown,Unknown,2,NH,0,U,0,Truck/Trolly,7,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,23-12-20,11:30,23-12-20 11:30,मस्जिद के सामने रायपुर रोड NH43 अभनपुर,21.061584,81.748705
ABHANPUR,460/20,Not known,M,0,NH,0,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,304-A,0,0,1,0,05-12-20,17:45,05-12-20 17:45,NH43 अभनपुर रायपुर रोड सोनी मल्टी अस्प्ताल के सामने अभनपुर,21.061763,81.748688
GOBRA NAWAPARA,515/20,31,M,0,O,2,R,1,Tempo/Tractor,6,No,1,Over Speeding,3,279,1,0,0,0,26-12-20,6:30,26-12-20 6:30,ग्राम टीला एनीकट रोड,21.062442,81.965914
GOBRA NAWAPARA,516/20,33,M,0,O,2,R,1,Tempo/Tractor,6,No,1,Over Speeding,3,279,1,0,0,0,26-12-20,6:30,26-12-20 6:30,ग्राम टीला एनीकट रोड,21.062442,81.965914
GOBRA NAWAPARA,62/21,25,M,0,O,2,R,1,Motorised Two Wheeler,5,No,1,Over Speeding,3,"279,337",0,1,0,0,28-01-21,20:00,28-01-21 20:00,ग्राम टीला बस्ती,21.0626,81.949187
ABHANPUR,204/19,Not known,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,15-02-19,17:30,15-02-19 17:30,बड़े उरला पचेड़ा रोड बारूद फैक्ट्री के पास बडे उरला,21.063041,81.769359
GOBRA NAWAPARA,500/20,48,M,0,O,2,R,1,Tempo/Tractor,6,No,1,Over Speeding,3,"279,304-A,337",0,0,1,0,03-12-20,19:45,03-12-20 19:45,ग्राम सुन्दरकेरा,21.063612,81.837657
GOBRA NAWAPARA,242/19,36,M,0,O,2,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,304-A,0,0,1,0,12-05-19,15:40,12-05-19 15:40,ग्राम टीला भोथीडीह के बीच,21.064032,81.93515
GOBRA NAWAPARA,Apr-21,27,M,0,O,2,R,1,Tempo/Tractor,6,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,03-01-21,18:30,03-01-21 18:30,टीला व सेमरा के बीच रोड ग्राम टीला,21.068519,81.958706
ABHANPUR,78/20,42,M,0,NH,0,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,279,1,0,0,0,22-02-20,17:30,22-02-20 17:30,"रायपुर से अभनपुर रोड, मोहन ढाबा के पास अभनपुर",21.068579,81.749762
ABHANPUR,236/19,44 AND 35,M,0,NH,0,R,1,Bus,2,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,04-05-19,11:10,04-05-19 11:10,मोहन ढाबा के पास रायपुर रोड अभनपुर,21.069046,81.749825
ABHANPUR,626/19,Not known,Unknown,2,NH,0,R,1,Unknown,8,Unknown,2,Over Speeding,3,304-A,0,0,1,0,10-12-19,18:00,10-12-19 18:00,छोटे उरला मोड के पास मेन रोड,21.069254,81.749854
ABHANPUR,92/20,Unknown,Unknown,2,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,16-02-20,20:15,16-02-20 20:15,राजलक्ष्मी ढाबा के सामने NH43 अभनपुर,21.069454,81.749858
ABHANPUR,599/19,Not known,Unknown,2,O,2,R,1,Unknown,8,Unknown,2,Over Speeding,3,304-A,0,0,1,0,18-11-19,5:30,18-11-19 5:30,ग्राम खट्टी ढोढ़रा मोंड के पास,21.070334,81.605397
ABHANPUR,442/20,Unknown,Unknown,2,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,23-11-20,9:30,23-11-20 9:30,NH43 राजलक्ष्मी ढाबा छोटे उरला मोंड के पास,21.070466,81.750055
ABHANPUR,135/21,53,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,05-03-21,18:30,05-03-21 18:30,ग्राम खट्टी एवं ढोढरा के मध्य आम रोड,21.070472,81.603596
ABHANPUR,Mar-21,30,M,0,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,31-12-20,16:30,31-12-20 16:30,रायपुर रोड सिंचाई कालोनी बकतरा मोंड के पास,21.07069,81.750066
ABHANPUR,31/20,38,M,0,NH,0,R,1,Bus,2,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,19-01-20,13:30,19-01-20 13:30,राजलक्ष्मी ढाबा के आगे रायपुर रोड,21.071405,81.75022
ABHANPUR,609/19,24,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,279,1,0,0,0,28-11-19,20:00,28-11-19 20:00,थनौद चौक ग्राम थनौद,21.071476,81.833061
ABHANPUR,16/20,27,M,0,O,2,R,1,Motorised Two Wheeler,5,No,1,Over Speeding,3,"279,337",0,1,0,0,06-01-20,8:00,06-01-20 8:00,थनौद चौक,21.071544,81.833149
ABHANPUR,253/19,36,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,10-01-19,19:45,10-01-19 19:45,थनौद चौक,21.071716,81.833066
GOBRA NAWAPARA,147/21,27,M,0,O,2,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,304-A,0,0,1,0,17-05-21,8:15,17-05-21 8:15,पोंड एवं जौंदा के मध्य रोड,21.071827,81.881779
ABHANPUR,273/20,Not known,Unknown,2,NH,0,R,1,Unknown,8,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,02-07-20,15:10,02-07-20 15:10,NH43 डामर प्लांट के सामने छोटे उरला,21.072309,81.750331
ABHANPUR,246/20,30,M,0,O,2,R,1,Truck/Trolly,7,No,1,Over Speeding,3,"279,337",0,1,0,0,23-06-20,20:30,23-06-20 20:30,ग्राम खट्टी डोंगर‍िया पारा आम रोड,21.072336,81.593521
ABHANPUR,121/21,30,M,0,NH,0,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,06-02-21,16:30,06-02-21 16:30,सिंचाई कालोनी नहर पुलिया के पास निर्माणाधीन NH43 रोड,21.074767,81.751289
ABHANPUR,80/20,41,M,0,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,24-02-20,19:40,24-02-20 19:40,श्रीराम धरमकांटा के पास NH-43 अभनपुर,21.074921,81.750782
ABHANPUR,81/20,22,M,0,NH,0,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,279,1,0,0,0,24-02-20,19:40,24-02-20 19:40,श्रीराम धरम कांटा के पास NH-43 अभनपुर,21.074921,81.750782
ABHANPUR,56/21,Unknown,Unknown,2,NH,0,R,1,Unknown,8,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,23-01-21,18:45,23-01-21 18:45,राजलक्ष्मी ढाबा के आगे सिंचाई कालोनी पुल के पास NH-43 रायपुर रोड अभनपुर,21.075045,81.750785
GOBRA NAWAPARA,314/19,28,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,05-07-19,12:00,05-07-19 12:00,मेन रोड ग्राम पोंड,21.076707,81.882264
ABHANPUR,492/19,Unknown,Unknown,2,SH,1,R,1,Unknown,8,Unknown,2,Over Speeding,3,304-A,0,0,1,0,24-09-19,20:00,24-09-19 20:00,पुराना धमतरी रोड आकृति बिस्कुट फैैक्ट्री के आगे ग्राम कोलर,21.078067,81.658762
ABHANPUR,96/21,Unknown,Unknown,2,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,09-02-21,19:30,09-02-21 19:30,तलाब पार रोड ग्राम कोलर,21.078238,81.673588
ABHANPUR,169/21,29,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,05-04-21,10:00,05-04-21 10:00,सारखी से कोलर रोड लदहा तलाब के पास,21.078519,81.671241
ABHANPUR,172/21,32,M,0,SH,1,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,05-04-21,10:30,05-04-21 10:30,कोलर तलाब बरगद पेंड के पास ग्राम कोलर,21.078844,81.670498
ABHANPUR,253/20,32,M,0,NH,0,R,1,Motorised Two Wheeler,5,Yes,0,Over Speeding,3,"279,304-A,337",0,0,1,0,16-03-20,19:00,16-03-20 19:00,छत्तीसगढ ढाबा के पास NH43 ग्राम झांकी,21.078995,81.751299
ABHANPUR,120/21,30,M,0,SH,1,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,279,1,0,0,0,23-02-21,20:30,23-02-21 20:30,पुराना धमतरी रोड आकृति बिस्किट फैक्ट्री के पास ग्राम कोलर,21.079064,81.659034
ABHANPUR,341/19,51,M,0,SH,1,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,13-07-19,14:00,13-07-19 14:00,छत्तीसगढ ढाबा के पहले रायपुर अभनपुर रोड NH-43,21.07908,81.751387
ABHANPUR,151/20,35,M,0,NH,0,R,1,Car/Jeep/Van/Taxi,3,No,1,Over Speeding,3,279,1,0,0,0,31-03-20,5:00,31-03-20 5:00,झांकी पेट्रोल पंप के पास NH43 रायपुर रोड,21.079087,81.751352
ABHANPUR,239/19,35,M,0,SH,1,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,29-04-19,8:00,29-04-19 8:00,आकृति सुपर स्नैक्स के सामने पुराना धमतरी रोड कोलर,21.079115,81.659028
ABHANPUR,229/19,47,M,0,SH,1,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,29-04-19,8:00,29-04-19 8:00,पुराना धमतरी रोड कोलर अकृति बिस्किट फैक्ट्री के सामने,21.079137,81.659041
ABHANPUR,445/19,21,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,13-08-19,16:30,13-08-19 16:30,सरगुजिया तलाब पचरी पार ग्राम कोलर,21.079913,81.669385
ABHANPUR,406/20,Not known,Unknown,2,NH,0,R,1,Unknown,8,Unknown,2,Over Speeding,3,304-A,0,0,1,0,04-11-20,1:40,04-11-20 1:40,छत्तीसगढ ढाबा के आगे मुर्गी फार्म के सामने रायपुर रोड NH43 ग्राम झांकी,21.079942,81.751365
ABHANPUR,294/19,29,M,0,NH,0,R,1,Tempo/Tractor,6,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,15-06-19,5:45,15-06-19 5:45,छत्तीसगढ़ ढाबा के पास झांकी NH43,21.080096,81.751394
ABHANPUR,500/20,25,M,0,NH,0,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,"279,304-A,279,304-A",0,0,1,0,30-12-20,17:30,30-12-20 17:30,छत्तीसगढ ढाबा के पास NH43 रायपुर रोड,21.080248,81.781412
ABHANPUR,501/20,34,M,0,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,30-12-20,21:30,30-12-20 21:30,छत्तीसगढ ढाबा के पास NH43 रायपुर रोड,21.080248,81.751412
GOBRA NAWAPARA,460/20,30,M,0,SH,1,R,1,Motorised Two Wheeler,5,No,1,Over Speeding,3,"279,337",0,1,0,0,11-11-20,21:30,11-11-20 21:30,Main Road Gram Bhurka,21.081869,81.915237
ABHANPUR,135/20,Unknown,Unknown,2,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,17-03-20,19:00,17-03-20 19:00,गुरूकृपा ढाबा के सामने NH.43 ग्राम झांकी,21.082507,81.751656
ABHANPUR,322/19,23,M,0,NH,0,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,30-06-19,21:25,30-06-19 21:25,गुरूकृपा ढाबा के सामने NH.43 2327्राम झांकी,21.082558,81.751698
ABHANPUR,Dec-20,38,M,0,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,05-01-20,13:00,05-01-20 13:00,गुरूकृपा ढाबा के सामने NH.43 ग्राम झांकी,21.082564,81.751724
ABHANPUR,49/19,40,M,0,NH,0,R,1,Motorised Two Wheeler,5,No,1,Over Speeding,3,"279,337",0,1,0,0,28-01-19,14:50,28-01-19 14:50,गुरूकृपा ढाबा के सामने अभनपुर,21.082613,81.751717
ABHANPUR,178/21,57,M,0,NH,0,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,19-04-21,7:00,19-04-21 7:00,गुरूकृपा ढाबा के सामने NH43 रोड ग्राम झांकी,21.082713,81.751683
KHAMTARAI,321/19,Unknown,M,0,NH,0,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Unknown,5,279,1,0,0,0,21-06-19,20:30,21-06-19 20:30,वीनू पेट्रोल पंप खमतराई,21.083,81.6365
ABHANPUR,149/20,35,M,0,SH,1,R,1,Truck/Trolly,7,No,1,Over Speeding,3,279,1,0,0,0,30-03-20,1:00,30-03-20 1:00,ग्राम कोलर चौक,21.083327,81.66015
ABHANPUR,277/19,Unknown,Unknown,2,O,2,R,1,Unknown,8,Unknown,2,Over Speeding,3,304-A,0,0,1,0,02-06-19,22:30,02-06-19 22:30,थनााद मार्ग पचेड़ा बांध के पास,21.084069,81.815286
ABHANPUR,185/20,Unknown,M,0,O,2,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,279,1,0,0,0,07-05-20,1:00,07-05-20 1:00,रावतपुरा कालेज के पास ग्राम पचेडा,21.085393,81.813042
ABHANPUR,213/19,23,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,21-04-19,15:30,21-04-19 15:30,ब्रेड फैक्टरी के सामने टेकारी रोड़,21.085511,81.653656
GOBRA NAWAPARA,223/20,40,M,0,O,2,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,279,1,0,0,0,16-06-20,2:00,16-06-20 2:00,तोरला पेट्रोल पंप के आगे,21.085897,81.890569
ABHANPUR,35/21,25,M,0,SH,1,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,16-01-21,19:10,16-01-21 19:10,रावतपुरा कालेज के सामने चंपारण रोड ग्राम पचेडा,21.086227,81.811606
ABHANPUR,36/21,21,M,0,SH,1,R,1,Motorised Two Wheeler,5,Yes,0,Over Speeding,3,"279,304-A,337",0,0,1,0,16-01-21,19:10,16-01-21 19:10,रावतपुरा कालेज के सामने चंपारण रोड ग्राम पचेडा,21.086227,81.811606
ABHANPUR,251/20,Not known,Unknown,2,NH,0,R,1,Unknown,8,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,28-06-20,15:00,28-06-20 15:00,CIT कालेज के पास ग्राम झांकी,21.087442,81.750934
ABHANPUR,528/19,35,M,0,NH,0,R,1,Truck/Trolly,7,No,1,Over Speeding,3,"279,337",0,1,0,0,20-10-19,15:00,20-10-19 15:00,CIT 2325ालेज के सामने ग्राम झांकी,21.087455,81.750896
ABHANPUR,616/19,24,M,0,NH,0,R,1,Motorised Two Wheeler,5,No,1,Over Speeding,3,"279,337",0,1,0,0,04-12-19,12:45,04-12-19 12:45,CIT कालेज के सामने  ग्राम झांकी,21.087994,81.750599
ABHANPUR,21/20,30 AND 30,M,0,NH,0,R,1,Truck/Trolly,7,No,1,Over Speeding,3,279,1,0,0,0,09-01-20,14:30,09-01-20 14:30,दावडा स्कुल के सामने ग्राम झांकी,21.088147,81.750601
ABHANPUR,345/19,Unknown,M,0,NH,0,R,1,Bus,2,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,13-07-19,20:00,13-07-19 20:00,मेन फोर्ड स्कूल के सामने NH43 2333ांकी,21.092294,81.748346
ABHANPUR,240/19,32,M,0,NH,0,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,05-05-19,15:45,05-05-19 15:45,मोनफोर्ड स्कुल के पास NH43 2333ांकी,21.092414,81.748322
ABHANPUR,79/21,Unknown,M,0,NH,0,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,15-01-21,18:30,15-01-21 18:30,मोनफोर्ट स्कुल के पास रायपुर रोड NH43 ग्राम झांकी,21.093484,81.747769
ABHANPUR,289/19,48,M,0,NH,0,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,11-06-19,17:00,11-06-19 17:00,ग्रम झांकी मोनफोर्ट स्कूल के पास,21.09351,81.747737
ABHANPUR,305/19,45,M,0,O,2,R,1,Truck/Trolly,7,No,1,Over Speeding,3,"279,337",0,1,0,0,20-06-19,20:30,20-06-19 20:30,ग्राम परसदा पेट्रोल पंप के पास,21.093752,81.59464
ABHANPUR,243/20,36,M,0,O,2,R,1,Tempo/Tractor,6,No,1,Over Speeding,3,304-A,0,0,1,0,22-06-20,15:30,22-06-20 15:30,ग्राम परसदा फुलवारी खार राजू साहू का खेत,21.094431,81.59807
GOBRA NAWAPARA,276/20,34,M,0,O,2,R,1,Motorised Two Wheeler,5,Yes,0,Over Speeding,3,"279,337",0,1,0,0,17-07-20,21:00,17-07-20 21:00,ग्राम दुलना रोड,20.955834,81.842222
ABHANPUR,449/20,Unknown,Unknown,2,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,30-10-20,11:00,30-10-20 11:00,रायपुर से अभनपुर रोड पंडवापी रिसार्ट के पास ग्राम केंद्री,21.095926,81.746564
ABHANPUR,420/19,49,M,0,NH,0,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,24-08-19,18:30,24-08-19 18:30,पंडवानी रिसार्ट के पास केंद्री NH43,21.096401,81.746303
ABHANPUR,245/19,45,M,0,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,07-05-19,21:00,07-05-19 21:00,पंडवानी रिसार्ट के पास केंद्री NH43,21.0968,81.746124
GOBRA NAWAPARA,270/20,40,M,0,O,2,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,13-07-20,21:10,13-07-20 21:10,कविता राईस मिल के सामने नवापारा,20.972196,81.870479
GOBRA NAWAPARA,258/20,42,M,0,NH,0,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,07-07-20,10:00,07-07-20 10:00,मेन रोड रिलांयस पेट्रोल पंप के पास नवापारा,20.968286,81.858745
GOBRA NAWAPARA,269/20,32,M,0,O,2,R,1,Motorised Two Wheeler,5,No,1,Over Speeding,3,"279,337",0,1,0,0,13-07-20,21:00,13-07-20 21:00,मेन रोड जैन रेस्टोरेंट के सामने नवापारा,20.974016,81.849873
GOBRA NAWAPARA,281/20,45,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,20-07-20,16:20,20-07-20 16:20,पारागांव बाजार चौंक,20.996016,81.877285
GOBRA NAWAPARA,277/20,29,M,0,NH,0,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,18-07-20,20:30,18-07-20 20:30,बजरंग बली मंदिर के पास ग्राम पिपरौद,20.992094,81.815316
ABHANPUR,52/21,25,M,0,NH,0,R,1,Truck/Trolly,7,No,1,Over Speeding,3,"279,337",0,1,0,0,23-01-21,12:40,23-01-21 12:40,ग्राम केंद्री के पास NH-43 रायपुर रोड,21.104325,81.74218
ABHANPUR,591/19,Unknown,Unknown,2,NH,0,R,1,Bus,2,Unknown,2,Over Speeding,3,279,1,0,0,0,04-11-19,5:30,04-11-19 5:30,ट्रेक्टर शो रूम के सामने NH43 2327्राम केन्द्री,21.107012,81.740978
GOBRA NAWAPARA,48/20,40,M,0,O,2,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,279,1,0,0,0,26-01-20,13:00,26-01-20 13:00,ग्राम तोरला मेन चौंक,21.107254,81.909133
ABHANPUR,249/20,29,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,28-06-20,2:00,28-06-20 2:00,ग्राम परसदा रवेली रोड आमदी मोंड,21.108012,81.592319
GOBRA NAWAPARA,336/20,30,M,0,O,2,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,13-08-20,17:30,13-08-20 17:30,ग्राम भुरका नर्सरी के पास,21.108768,81.94537
ABHANPUR,141/21,Unknown,Unknown,2,NH,0,R,1,Truck/Trolly,7,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,18-03-21,23:15,18-03-21 23:15,रायपुर रोड केंद्री के पास निर्माणाधीन ओवर ब्रिज के पहले,21.109837,81.739552
ABHANPUR,454/20,Not known,Unknown,2,NH,0,R,1,Unknown,8,Unknown,2,Over Speeding,3,304-A,0,0,1,0,30-11-20,20:15,30-11-20 20:15,NH43 रायपुर रोड नव निर्मित ओवर ब्रिज के पहले ग्राम केंद्री,21.115601,81.736644
ABHANPUR,106/21,Unknown,Unknown,2,NH,0,R,1,Unknown,8,Unknown,2,Over Speeding,3,"279,304-A,337",0,0,1,0,14-02-21,19:00,14-02-21 19:00,मिंटू पब्लिक स्कुल हनुमान मंदिर के सामने रायपुर रोड NH43,21.127284,81.740042
ABHANPUR,301/19,Unknown,M,0,NH,0,R,1,Bus,2,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,18-06-19,17:00,18-06-19 17:00,परसट्ठी मोंड़ के पास NH43 2327्राम परसट्ठी,21.127826,81.740324
KHAMTARAI,643/19,42,M,0,NH,0,U,0,Unknown,8,Unknown,2,Unknown,5,"279,337",0,1,0,0,23-11-19,16:30,23-11-19 16:30,आडवानी कालोनी,21.279927,81.635432
TELIBANDHA,210/21,Unknown,M,0,NH,0,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,13-06-21,20:45,13-06-21 20:45,MAHASAMUND BARRIEAR CHOWK SAIGNAL TELIBANDHA,21.239215,81.679748
KHAMTARAI,616/19,43,M,0,NH,0,U,0,Unknown,8,Unknown,2,Unknown,5,279,1,0,0,0,09-11-19,18:30,09-11-19 18:30,बंजारी मंदिर के आगे मेन रोड,21.313369,81.638877
CIVIL LINES,497/19,56,M,0,O,2,U,0,Motorised Two Wheeler,5,No,1,Over Speeding,3,"279,337",0,1,0,0,28-08-19,17:00,28-08-19 17:00,नया ब्रिज के पास शंकर नगर रायपुर,21.146738,81.659911
ABHANPUR,614/19,Not known,Unknown,2,NH,0,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,01-12-19,17:30,01-12-19 17:30,तेली तलाब के सामने मेन रोड ग्राम तुता,21.147764,81.744694
ABHANPUR,532/19,27,M,0,NH,0,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,304-A,0,0,1,0,13-07-19,12:30,13-07-19 12:30,मारकंडे केंटिन के पास ग्राम तुता,21.148179,81.744404
ABHANPUR,617/19,Not known,Unknown,2,NH,0,R,1,Unknown,8,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,01-12-19,20:30,01-12-19 20:30,राज्योत्सवस्थल चौक ग्राम तुता,21.150548,81.74916
ABHANPUR,73/19,35,M,0,NH,0,R,1,Bus,2,No,1,Over Speeding,3,"279,337",0,1,0,0,12-02-19,15:00,12-02-19 15:00,मैसी ट्रैक्टर गोडाउन रायपुर अभनपुर रोड,21.150552,81.742378
ABHANPUR,94/21,Unknown,M,0,SH,1,R,1,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,10-02-21,17:30,10-02-21 17:30,राज्योत्सव स्थल पास नया रायपुर रोड ग्राम तुता,21.151423,81.751409
KHAMTARAI,65/20,Unknown,Unknown,2,NH,0,U,0,Unknown,8,Unknown,2,Unknown,5,279,1,0,0,0,12-02-20,11:15,12-02-20 11:15,रिलायंस पेट्रोल पंप पास  रिंग रोड न 02,21.286033,81.618003
KHAMTARAI,650/18,Unknown,Unknown,2,SH,1,U,0,Unknown,8,Unknown,2,Unknown,5,"279,304-A,337",0,0,1,0,16-11-19,19:30,16-11-19 19:30,खमतराई बाजार,21.280507,81.635309
KHAMTARAI,275/19,Unknown,M,0,NH,0,U,0,Unknown,8,Unknown,2,Unknown,5,304-A,0,0,1,0,06-05-19,8:00,06-05-19 8:00,ट्रांसपोर्ट नगर रावाभाठा,21.15992,81.640241
DEEN DAYAL NAGAR,62/20,Unknown,Unknown,2,O,2,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,279,1,0,0,0,15-02-20,1:00,15-02-20 1:00,RAIPURA,21.215566,81.594904
DEEN DAYAL NAGAR,38/21,Unknown,Unknown,2,O,2,U,0,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,27-01-21,21:00,27-01-21 21:00,GOKULDHAM MAHADEVGHAT,21.21599,81.59441
DEEN DAYAL NAGAR,351/19,Unknown,Unknown,2,O,2,U,0,Tempo/Tractor,6,No,1,Over Speeding,3,"279,429",1,0,0,0,07-10-19,23:45,07-10-19 23:45,MAHADEVGHAT,21.21638,81.592771
TELIBANDHA,383/20,28,M,0,O,2,R,1,Motorised Two Wheeler,5,No,1,Over Speeding,3,"279,337",0,1,0,0,16-10-20,16:30,16-10-20 16:30,OPPOSSITE ENERGY PARK FUNDHAR,21.216499,81.696122
TELIBANDHA,169/19,30,M,0,SH,1,R,1,Motorised Two Wheeler,5,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,29-03-19,17:30,29-03-19 17:30,FUDHAR CHOWK,21.21722,81.61367
TELIBANDHA,182/19,Unknown,M,0,SH,1,U,0,Truck/Trolly,7,Unknown,2,Over Speeding,3,279,1,0,0,0,05-04-19,17:30,05-04-19 17:30,VIP CHOWK,21.21722,81.61367
TELIBANDHA,540/19,25,M,0,SH,1,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,"279,337",0,1,0,0,18-11-19,11:50,18-11-19 11:50,OM VIHAR TURNING VIP,21.21722,81.61367
TELIBANDHA,77/21,Unknown,Unknown,2,SH,1,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,279,1,0,0,0,20-02-21,6:53,20-02-21 6:53,वीआईपी रोड के पहले रायपुर,21.21722,81.61367
TELIBANDHA,85/21,22,M,0,SH,1,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,279,1,0,0,0,26-02-21,1:00,26-02-21 1:00,राम मंदिर के पास तेलीबाधा रायपुर,21.21722,81.61367
TELIBANDHA,86/21,22,M,0,SH,1,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,279,1,0,0,0,26-02-21,1:10,26-02-21 1:10,राम मंदिर के पास रायपुर,21.21722,81.61367
TELIBANDHA,32/19,23,M,0,O,2,U,0,Car/Jeep/Van/Taxi,3,Unknown,2,Over Speeding,3,279,1,0,0,0,20-01-19,20:00,20-01-19 20:00,NEAR KAFE SKY LAUNCH HOTEL VIP ROAD,21.217221,81.613671
